name,classification,designation,average_height,skin_colors,hair_colors,eye_colors,average_lifespan,language,homeworld
Hutt,gastropod,sentient,300,"green, brown, tan",,"yellow, red",1000,Huttese,Nal Hutta
Yoda's species,mammal,sentient,66,"green, yellow","brown, white","brown, green, yellow",900,Galactic basic,NA
Trandoshan,reptile,sentient,200,"brown, green",,"yellow, orange",,Dosh,Trandosha
Mon Calamari,amphibian,sentient,160,"red, blue, brown, magenta",,yellow,,Mon Calamarian,Mon Cala
Ewok,mammal,sentient,100,brown,"white, brown, black","orange, brown",,Ewokese,Endor
Sullustan,mammal,sentient,180,pale,,black,,Sullutese,Sullust
Neimodian,,sentient,180,"grey, green",,"red, pink",,Neimoidia,Cato Neimoidia
Gungan,amphibian,sentient,190,"brown, green",,orange,,Gungan basic,Naboo
Toydarian,mammal,sentient,120,"blue, green, grey",,yellow,91,Toydarian,Toydaria
Dug,mammal,sentient,100,"brown, purple, grey, red",,"yellow, blue",,Dugese,Malastare
Twi'lek,mammals,sentient,200,"orange, yellow, blue, green, pink, purple, tan",,"blue, brown, orange, pink",,Twi'leki,Ryloth
Aleena,reptile,sentient,80,"blue, gray",,,79,Aleena,Aleen Minor
Vulptereen,,sentient,100,grey,,yellow,,vulpterish,Vulpter
Xexto,,sentient,125,"grey, yellow, purple",,black,,Xextese,Troiken
Toong,,sentient,200,"grey, green, yellow",,orange,,Tundan,Tund
Cerean,mammal,sentient,200,pale pink,"red, blond, black, white",hazel,,Cerean,Cerea
Nautolan,amphibian,sentient,180,"green, blue, brown, red",,black,70,Nautila,Glee Anselm
Zabrak,mammal,sentient,180,"pale, brown, red, orange, yellow",black,"brown, orange",,Zabraki,Iridonia
Tholothian,mammal,sentient,,dark,,"blue, indigo",,,Tholoth
Iktotchi,,sentient,180,pink,,orange,,Iktotchese,Iktotch
Quermian,mammal,sentient,240,white,,yellow,86,Quermian,Quermia
Kel Dor,,sentient,180,"peach, orange, red",,"black, silver",70,Kel Dor,Dorin
Chagrian,amphibian,sentient,190,blue,,blue,,Chagria,Champala
Geonosian,insectoid,sentient,178,"green, brown",,"green, hazel",,Geonosian,Geonosis
Mirialan,mammal,sentient,180,"yellow, green","black, brown","blue, green, red, yellow, brown, orange",,Mirialan,Mirial
Clawdite,reptilian,sentient,180,"green, yellow",,yellow,70,Clawdite,Zolan
Besalisk,amphibian,sentient,178,brown,,yellow,75,besalisk,Ojom
Kaminoan,amphibian,sentient,220,"grey, blue",,black,80,Kaminoan,Kamino
Skakoan,mammal,sentient,,"grey, green",,,,Skakoan,Skako
Muun,mammal,sentient,190,"grey, white",,black,100,Muun,Muunilinst
Togruta,mammal,sentient,180,"red, white, orange, yellow, green, blue",,"red, orange, yellow, green, blue, black",94,Togruti,Shili
Kaleesh,reptile,sentient,170,"brown, orange, tan",,yellow,80,Kaleesh,Kalee
Pau'an,mammal,sentient,190,grey,,black,700,Utapese,Utapau
Wookiee,mammal,sentient,210,gray,"black, brown","blue, green, yellow, brown, golden, red",400,Shyriiwook,Kashyyyk
Droid,artificial,sentient,,,,,,,
Human,mammal,sentient,180,"caucasian, black, asian, hispanic","blonde, brown, black, red","brown, blue, green, hazel, grey, amber",120,Galactic Basic,Coruscant
Rodian,sentient,reptilian,170,"green, blue",,black,,Galactic Basic,Rodia
